备盒, 醚拌 , 醚拌 巢 , 醚拌 咯 , 吝备 拌 , 吝备 巢 , 吝备 咯 , 悼备 拌 , 悼备 巢 , 悼备 咯 , 辑备 拌 , 辑备 巢 , 辑备 咯 , 巢备 拌 , 巢备 巢 , 巢备 咯 , 合备 拌 , 合备 巢 , 合备 咯 , 荐己备 拌 , 荐己备 巢 , 荐己备 咯 , 崔辑备 拌 , 崔辑备 巢 , 崔辑备 咯 , 崔己焙 拌 , 崔己焙 巢 , 崔己焙 咯 
37技,37391,18605,18786,1289,672,617,5843,2906,2937,2315,1295,1020,2064,1039,1025,6750,3339,3411,5545,2487,3058,8363,4108,4255,5222,2759,2463
38技,37430,18716,18714,1219,660,559,5761,2971,2790,2350,1258,1092,2068,1073,995,6757,3343,3414,5752,2599,3153,8456,4165,4291,5067,2647,2420
39技,37549,18399,19150,1207,619,588,5530,2794,2736,2306,1236,1070,2025,1015,1010,6792,3376,3416,6247,2787,3460,8582,4107,4475,4860,2465,2395
40技,32321,16444,15877,929,496,433,4743,2504,2239,1944,1059,885,1764,879,885,5812,2933,2879,5499,2577,2922,7582,3844,3738,4048,2152,1896
41技,35851,17682,18169,1032,561,471,5144,2627,2517,2161,1182,979,1915,969,946,6691,3259,3432,6268,2805,3463,8361,4037,4324,4279,2242,2037
42技,35684,17887,17797,1048,549,499,5011,2658,2353,2180,1208,972,1866,956,910,6623,3282,3341,6696,3024,3672,8331,4095,4236,3929,2115,1814
43技,37855,18494,19361,1076,529,547,5179,2735,2444,2368,1259,1109,1955,952,1003,7188,3472,3716,7129,3142,3987,8860,4256,4604,4100,2149,1951
44技,40581,20209,20372,1130,587,543,5424,2867,2557,2596,1462,1134,2137,1096,1041,7898,3852,4046,7795,3498,4297,9508,4664,4844,4093,2183,1910
45技,42659,20642,22017,1166,574,592,5603,2881,2722,2749,1465,1284,2288,1163,1125,8191,3939,4252,8395,3714,4681,10206,4789,5417,4061,2117,1944
46技,43764,21621,22143,1273,662,611,5594,2929,2665,2844,1502,1342,2431,1215,1216,8410,4174,4236,8751,4029,4722,10359,4946,5413,4102,2164,1938
47技,45472,22386,23086,1268,657,611,5719,2966,2753,3036,1609,1427,2534,1283,1251,8551,4209,4342,9152,4285,4867,11097,5252,5845,4115,2125,1990
48技,44715,22046,22669,1247,650,597,5606,2837,2769,3098,1593,1505,2491,1240,1251,8457,4172,4285,9014,4248,4766,10768,5233,5535,4034,2073,1961
49技,45368,22013,23355,1199,608,591,5643,2764,2879,3340,1672,1668,2527,1283,1244,8477,4181,4296,8887,4149,4738,11286,5400,5886,4009,1956,2053
50技,46587,23087,23500,1220,621,599,5929,2952,2977,3504,1773,1731,2616,1332,1284,8693,4381,4312,8873,4353,4520,11542,5579,5963,4210,2096,2114
51技,44166,21213,22953,1241,602,639,5704,2714,2990,3421,1690,1731,2569,1252,1317,7987,3902,4085,8330,3998,4332,10940,5108,5832,3974,1947,2027
52技,40519,20729,19790,1072,547,525,5309,2706,2603,3419,1793,1626,2316,1192,1124,7441,3872,3569,7208,3678,3530,10019,5016,5003,3735,1925,1810
53技,42525,20486,22039,1120,550,570,5669,2719,2950,3711,1847,1864,2437,1157,1280,7523,3685,3838,7601,3656,3945,10534,4958,5576,3930,1914,2016
54技,41598,20472,21126,1202,605,597,5738,2785,2953,3742,1919,1823,2430,1110,1320,7195,3554,3641,7374,3648,3726,10165,4935,5230,3752,1916,1836
55技,39327,19490,19837,1089,559,530,5383,2600,2783,3451,1780,1671,2364,1127,1237,6903,3436,3467,6833,3334,3499,9687,4817,4870,3617,1837,1780
56技,44136,21833,22303,1248,615,633,6106,2977,3129,4049,1991,2058,2845,1402,1443,7718,3868,3850,7190,3515,3675,10782,5329,5453,4198,2136,2062
57技,45664,22321,23343,1308,630,678,6510,3075,3435,4299,2083,2216,2899,1388,1511,7925,3960,3965,7271,3554,3717,11175,5480,5695,4277,2151,2126
58技,43639,21172,22467,1316,633,683,6416,3048,3368,3990,1936,2054,2906,1321,1585,7493,3691,3802,7066,3467,3599,10514,5083,5431,3938,1993,1945
59技,42982,20650,22332,1291,626,665,6382,2959,3423,4233,2028,2205,2975,1360,1615,7102,3489,3613,6835,3286,3549,10205,4920,5285,3959,1982,1977
60技,35806,17790,18016,1136,577,559,5459,2654,2805,3299,1614,1685,2608,1223,1385,6063,3123,2940,5820,2856,2964,8197,4115,4082,3224,1628,1596
61技,37214,18307,18907,1217,563,654,5770,2720,3050,3550,1752,1798,2723,1277,1446,6040,3115,2925,6073,2908,3165,8478,4258,4220,3363,1714,1649
62技,34069,16642,17427,1176,563,613,5488,2575,2913,3321,1560,1761,2462,1137,1325,5456,2693,2763,5555,2696,2859,7631,3875,3756,2980,1543,1437
63技,34356,15996,18360,1182,531,651,5592,2549,3043,3337,1513,1824,2742,1269,1473,5443,2566,2877,5515,2561,2954,7601,3590,4011,2944,1417,1527
64技,28529,13945,14584,999,487,512,4699,2187,2512,2944,1398,1546,2268,1074,1194,4608,2275,2333,4482,2213,2269,6215,3119,3096,2314,1192,1122
65技,26830,12495,14335,881,392,489,4352,2004,2348,2799,1321,1478,2157,948,1209,4248,1998,2250,4431,2015,2416,5778,2752,3026,2184,1065,1119
66技,29092,13475,15617,1088,464,624,4833,2277,2556,3091,1388,1703,2310,1038,1272,4427,2060,2367,4626,2167,2459,6214,2864,3350,2503,1217,1286
67技,22212,10364,11848,776,345,431,3801,1753,2048,2308,1045,1263,1832,809,1023,3583,1701,1882,3509,1613,1896,4583,2201,2382,1820,897,923
68技,21917,10321,11596,878,378,500,3666,1741,1925,2154,1060,1094,1795,835,960,3416,1586,1830,3620,1642,1978,4546,2171,2375,1842,908,934
69技,22725,10529,12196,882,379,503,3957,1810,2147,2310,1091,1219,1952,865,1087,3590,1635,1955,3664,1685,1979,4529,2148,2381,1841,916,925
70技,22493,10253,12240,952,401,551,3864,1739,2125,2365,1085,1280,1962,872,1090,3579,1606,1973,3579,1582,1997,4420,2097,2323,1772,871,901
71技,20941,9389,11552,905,382,523,3636,1636,2000,2102,940,1162,1790,784,1006,3305,1455,1850,3492,1552,1940,4116,1871,2245,1595,769,826
72技,14969,6826,8143,698,299,399,2575,1161,1414,1460,629,831,1374,588,786,2301,1039,1262,2479,1145,1334,2940,1418,1522,1142,547,595
73技,13482,5899,7583,641,268,373,2406,1038,1368,1320,617,703,1188,478,710,2109,917,1192,2237,975,1262,2553,1130,1423,1028,476,552
74技,15939,6833,9106,771,318,453,2755,1201,1554,1676,705,971,1397,594,803,2573,1027,1546,2660,1165,1495,2917,1268,1649,1190,555,635
75技,16442,6969,9473,752,334,418,2914,1215,1699,1672,718,954,1517,639,878,2560,1056,1504,2807,1210,1597,3022,1297,1725,1198,500,698
76技,18577,7985,10592,864,389,475,3179,1364,1815,1876,791,1085,1679,728,951,3062,1354,1708,3038,1336,1702,3530,1480,2050,1349,543,806
77技,15218,6238,8980,666,286,380,2646,1115,1531,1509,629,880,1448,599,849,2470,981,1489,2497,1047,1450,2809,1136,1673,1173,445,728
78技,13166,5201,7965,610,242,368,2276,949,1327,1231,483,748,1232,492,740,2150,856,1294,2235,886,1349,2419,943,1476,1013,350,663
79技,13359,5266,8093,605,235,370,2300,933,1367,1302,516,786,1246,505,741,2132,848,1284,2241,936,1305,2514,934,1580,1019,359,660
80技,11321,4345,6976,537,205,332,1918,713,1205,1043,420,623,1050,416,634,1766,698,1068,1992,766,1226,2102,793,1309,913,334,579
81技,10246,3779,6467,458,185,273,1737,661,1076,973,328,645,948,336,612,1526,566,960,1856,727,1129,1934,685,1249,814,291,523
82技,9222,3363,5859,439,177,262,1561,586,975,838,319,519,847,304,543,1394,502,892,1670,632,1038,1777,601,1176,696,242,454
83技,8432,2926,5506,349,135,214,1373,487,886,745,269,476,821,306,515,1299,450,849,1586,559,1027,1587,509,1078,672,211,461
84技,7323,2492,4831,321,121,200,1248,437,811,623,217,406,714,261,453,1134,354,780,1348,478,870,1347,455,892,588,169,419
85技,5750,1824,3926,266,81,185,928,292,636,451,140,311,552,191,361,865,254,611,1107,381,726,1104,332,772,477,153,324
86技,5143,1591,3552,227,65,162,819,264,555,439,128,311,505,180,325,779,239,540,997,313,684,938,274,664,439,128,311
87技,3943,1088,2855,185,52,133,625,181,444,312,70,242,408,107,301,568,143,425,768,233,535,745,203,542,332,99,233
88技,3149,757,2392,155,33,122,482,119,363,258,50,208,305,78,227,476,112,364,577,154,423,603,144,459,293,67,226
89技,2540,642,1898,118,32,86,406,114,292,195,39,156,260,66,194,364,91,273,530,139,391,473,121,352,194,40,154
90技,2157,511,1646,121,37,84,325,78,247,185,49,136,226,71,155,303,64,239,414,87,327,409,89,320,174,36,138
91技,1673,389,1284,98,24,74,281,67,214,142,25,117,167,50,117,255,53,202,290,71,219,286,64,222,154,35,119
92技,1072,227,845,63,14,49,159,31,128,101,15,86,112,25,87,139,28,111,212,55,157,179,38,141,107,21,86
93技,905,194,711,40,11,29,163,28,135,65,14,51,74,10,64,136,33,103,179,43,136,177,38,139,71,17,54
94技,616,123,493,36,10,26,119,21,98,58,5,53,61,16,45,74,14,60,110,23,87,118,28,90,40,6,34
95技,502,112,390,35,9,26,77,17,60,53,10,43,49,11,38,83,9,74,81,25,56,86,22,64,38,9,29
96技,369,74,295,21,1,20,62,10,52,22,3,19,41,8,33,64,13,51,64,18,46,64,11,53,31,10,21
97技,273,46,227,17,3,14,45,10,35,25,6,19,27,5,22,33,4,29,54,6,48,52,7,45,20,5,15
98技,178,37,141,18,6,12,31,9,22,13,3,10,25,2,23,41,8,33,25,2,23,17,6,11,8,1,7
99技,130,25,105,8,3,5,27,7,20,10,0,10,11,2,9,19,2,17,24,7,17,19,3,16,12,1,11
100技 捞惑,628,145,483,85,15,70,110,25,85,95,24,71,76,18,58,71,18,53,90,24,66,76,14,62,25,7,18
